LOCATION,TIME,Value
IRL,1992,179.236
IRL,1993,171.49599999999998
IRL,1994,170.63
IRL,1995,168.782
IRL,1996,171.676
IRL,1997,165.947
IRL,1998,174.347
IRL,1999,174.73
IRL,2000,175.7
IRL,2001,174.475
IRL,2002,166.96900000000002
IRL,2003,166.28400000000002
IRL,2004,167.52900000000002
IRL,2005,169.51
IRL,2006,164.63299999999998
IRL,2007,160.784
IRL,2008,146.46200000000002
IRL,2009,122.42399999999999
IRL,2010,116.38799999999999
IRL,2011,104.262
IRL,2012,106.95
IRL,2013,108.235
IRL,2014,108.245
IRL,2015,110.537
IRL,2016,111.05
IRL,2017,109.009
ITA,1990,2066.231
ITA,1991,2134.806
ITA,1992,2166.453
ITA,1993,2068.4
ITA,1994,1969.418
ITA,1995,1942.237
ITA,1996,1870.4620000000002
ITA,1997,1798.5929999999998
ITA,1998,1686.941
ITA,1999,1593.28
ITA,2000,1493.227
ITA,2001,1463.269
ITA,2002,1404.715
ITA,2003,1386.559
ITA,2004,1340.592
ITA,2005,1285.277
ITA,2006,1215.729
ITA,2007,1160.124
ITA,2008,1074.524
ITA,2009,990.262
ITA,2010,972.674
ITA,2011,934.9060000000001
ITA,2012,876.061
ITA,2013,822.062
ITA,2014,804.0880000000001
ITA,2015,778.306
ITA,2016,754.2739999999999
ITA,2017,712.143
JPN,1990,1976.8270000000002
JPN,1991,2024.964
JPN,1992,1996.19
JPN,1993,1981.6660000000002
JPN,1994,2017.961
JPN,1995,2078.201
JPN,1996,2063.992
JPN,1997,2088.019
JPN,1998,1991.293
JPN,1999,2031.039
JPN,2000,2040.445
JPN,2001,2019.558
JPN,2002,2066.797
JPN,2003,2047.6729999999998
JPN,2004,1978.3020000000001
JPN,2005,1953.54
JPN,2006,1869.755
JPN,2007,1780.0220000000002
JPN,2008,1646.318
JPN,2009,1558.757
JPN,2010,1562.231
JPN,2011,1498.967
JPN,2012,1452.81
JPN,2013,1394.168
JPN,2014,1339.152
JPN,2015,1302.1960000000001
JPN,2016,1421.7020000000002
JPN,2017,1378.43
KOR,1999,1072.323
KOR,2000,1122.844
KOR,2001,1219.02
KOR,2002,1242.265
KOR,2003,1362.141
KOR,2004,1377.526
KOR,2005,1306.724
KOR,2006,1274.969
KOR,2007,1187.76
KOR,2008,1044.925
KOR,2009,1014.133
KOR,2010,1061.0510000000002
KOR,2011,1040.017
KOR,2012,1075.052
KOR,2013,1090.4489999999998
KOR,2014,1135.59
KOR,2015,1154.829
KOR,2016,1245.434
LUX,1990,41.467
LUX,1991,46.873000000000005
LUX,1992,46.483999999999995
LUX,1993,44.387
LUX,1994,41.036
LUX,1995,34.914
LUX,1996,35.135
LUX,1997,35.449
LUX,1998,34.382
LUX,1999,36.551
LUX,2000,41.086000000000006
LUX,2001,42.505
LUX,2002,42.603
